Ref,Storyline,MDate,Description,CDate,UDate,CName,UName
1,272,"05/09/99 00:00:00","This year they walked round all four parishes about 23 miles","05/17/99 15:49:58","05/17/99 15:49:59","fishec50","fishec50"
2,74,"10/22/92 00:00:00","22.10.1992    Rich man poor man -  Caroline helps Robin plan the harvest supper;  one third will get a proper meal and two thirds will get rice and water.   As luck would have it Joe got a poor meal and Brian got a rich one.","05/28/99 16:33:20","05/28/99 16:39:21","fishec50","fishec50"
3,74,"10/06/94 00:00:00","The Harvest Supper is held at Bridge Farm to promote Organic Harvest month.","05/28/99 16:34:26","05/28/99 16:38:14","fishec50","fishec50"
4,74,"10/19/95 00:00:00","Tom is the guest of honor and presented with a framed photo of his family.","05/28/99 16:35:19","05/28/99 16:35:19","fishec50","fishec50"
5,74,"10/07/96 00:00:00","In the village hall with courses supplied by villages: Kathy soup, Jill salads, Jennifer cheese and pate, Marjorie pudding.","05/28/99 16:36:22","05/28/99 16:36:22","fishec50","fishec50"
6,74,"10/06/97 00:00:00","A course in each parish ending with pudding in Ambridge, which was made by Jennifer and not eaten.","05/28/99 16:37:41","05/28/99 16:37:42","fishec50","fishec50"
7,74,"09/13/98 00:00:00","Everyone took fruit pies and Janet who had already eaten at a Harvest Supper in Darrington was unable to finish her and left a piece of pie under the lectern.","05/28/99 16:38:34","05/28/99 16:38:34","fishec50","fishec50"
8,74,"10/08/93 00:00:00","At the Village Hall local people cook dishes, Ruth and David give a casserole, Jill lots of pudding etc.   Joe arrives late there is no meat left and he has to put up with a helping of Lynda’s vegetarian alternative.","05/28/99 16:39:42","05/28/99 16:39:54","fishec50","fishec50"
9,240,"08/03/99 00:00:00","Lyn Adams Gene Transfer in pollen","08/17/99 17:49:35","08/17/99 17:49:36","fishec50","fishec50"
10,240,,"Roger Fenton Pesticide trust","08/17/99 17:50:44","08/17/99 17:50:45","fishec50","fishec50"
11,335,,"Two versions of the episode were written one sunny one cloudy - in the end a sort of third version was used because the weather was changeable","09/30/99 15:10:58","09/30/99 15:12:38","fishec50","fishec50"
12,35,,"The Mark Hebden Memorial Trophy.
Wording: Number One; "" The Mark Hebden Memorial Trophy In Memory of a Talented Player and  Valued Friend"" Two; ""The Mark Hebden Memorial Trophy In Memory of a Talented Player and a Trusted Friend""","10/04/99 12:11:36","10/04/99 12:11:37","fishec50","fishec50"
13,240,"11/02/99 00:00:00","Actors used in the court case episodes: Susan Jeffrey - Clerk.  Sean Connolly - Jury.  Rachel Atkins - Jury. David Holt - Jury (Craig). Lorna Laidlow - Jury (Rachel). Sarah Horner - Jury (Hannah). Kim Wall - Jury (Bob). David Barber - Jury (Steve). This episode was set in the jury room and used no Archers actors or characters.","11/08/99 10:16:17","11/08/99 10:19:23","FISHEC50","FISHEC50"
14,390,"04/24/87 00:00:00","Kathy married Sid on 27/4/1987","01/12/00 12:29:47","01/12/00 12:30:28","fishec50","fishec50"
15,229,,"1999  - Chair George Barford
Vice Chair Jack Woolley
Clerk to the council Marjorie Antrobus from Oct 2002 Chris
Committee: Christine Barford, Derek Fletcher, Jean Harvey, Peggy Woolley, Neil Carter","02/01/00 17:12:43","11/15/02 16:50:46","fishec50","fishec50"
16,35,"05/31/99 00:00:00","Tommy is a hero, everyone is delighted he’s won","04/18/00 15:26:53","04/18/00 15:26:54","fishec50","fishec50"
17,35,"05/25/98 00:00:00","Sean won the single wicket","04/18/00 15:36:47","04/18/00 15:36:48","fishec50","fishec50"
18,35,"05/26/97 00:00:00","Richard won","04/18/00 15:39:46","04/18/00 15:39:46","fishec50","fishec50"
19,35,"05/27/97 00:00:00","Roy won","04/18/00 15:40:23","04/18/00 15:40:26","fishec50","fishec50"
20,35,"05/29/87 00:00:00"," John is the winner for the second year running","04/18/00 15:41:09","04/18/00 15:41:10","fishec50","fishec50"
21,35,"05/30/94 00:00:00"," John wins","04/18/00 15:42:02","04/18/00 15:42:03","fishec50","fishec50"
22,198,,"1951  - Held on the last Saturday in June.
1953  to 1956 No dates.
1956 - 6 July.
1958 - 5 July
1959 - 24 July
1962 - 27. July. -The fete was opened by Richard Todd. (Wow)
1963  - to 1973  No dates.
1974 - 22 July
1975 - 26 July: Police Motor-cycle display, Steam Engine Race,  and Hollerton Town Band.
1976 - 31. July. - Pony Club display, Guess Your Weight and a  - Talent competition.
1977 - 30 July.    Ambridge Beauty Queen won by Ellen Padbury.
1978 - 5. August. Children’s painting competition won by Lucy Perks      (she cheated)
1979 - 28. July. Guess the Weight of The Calf, Tug of War, won by Penny  Hassett.
1980 - 19 July
1981 - 15 August. Disco in the evening at the Village Hall.
1982 - 17 July.  Stalls and a marquee.
1983 - 16 July. Beautiful Baby won by William. This was the year that  Susan won the pig and got Neil to notice her. 1984 7 July.200 Yard Dash won by Pat. Caroline did the Face Painting.
1985 - 6. July Dog Show, Playgroup fancy dress: Roy had buckskins  made out of Brown Paper and Kate went as Superwoman.
1986 - No date. Flower Competition.
1987 - 3. August.  Welly Wanging, Magical Mystery Tour.
1988 - 1 August. Stall Holders in costume. It rained and Mr. Pullen hogged the Portaloo.
1989 - 19.5.89 The Ambridge Spring Festival.
1990 - 19 August. Bonny Baby won by Christopher and Kylie, Raft Race.
1991 - 24 August. Kathy in St. John’s Uniform. Clarrie won the Town    Crier Competition.
1992 - 3 August.  Edgeley Morris Dancers.
1993 - 31 July - Human Fruit Machine.
1994 - 29. July Usha had to take over the fortune telling from Martha.  Rain stopped play.
1995 - 14 July. Duck Race.
1996 - 21 June - Summer Festival.  Talent contest.
1997 25 June - Saturday; Opened by Janet.
 Felpersham Flyers did a fly past. Pets’ Karaoke.
1998 Gut barging
1999 Ambridge in the year 1000","04/27/00 15:32:25","04/27/00 15:56:27","fishec50","fishec50"
23,231,"10/01/99 00:00:00","Debbie agrees to move in with Simon.","05/04/00 11:38:25","05/04/00 11:38:45","fishec50","fishec50"
24,198,"06/30/51 00:00:00","Fete Held on the last Saturday in June.","05/04/00 12:37:54","05/04/00 12:39:56","fishec50","fishec50"
25,198,"06/25/97 00:00:00","Saturday; Opened by Janet.
Felpersham Flyers did a fly past. 
Pets’ Karaoke.","05/04/00 12:38:47","05/04/00 12:38:50","fishec50","fishec50"
26,198,"07/27/62 00:00:00","The fete was opened by Richard Todd. (Wow)","05/04/00 12:39:15","05/04/00 12:39:18","fishec50","fishec50"
27,229,"06/14/00 00:00:00","2000  Chair George Barford
Vice Chair Jack Woolley
Clerk to the council Marjorie Antrobus from Oct 2002 Chris
Committee: Christine Barford, Derek Fletcher, Jean Harvey, Peggy Woolley, Neil Carter  Jean is going to retire Siobhan takes her place","08/04/00 14:59:30","01/21/05 16:49:55","fishec50","fishec50"
28,198,"08/01/00 00:00:00","Spile Troshing - take a wheel off a hay cart, wind a rope round the axle and attach a slug ( a 20 pound weight) to it. The trosher has to flick the spile into the bower ( the basket into which the spile has to be troshed). If you get the spile in on the first rotation it's a Prime which is three points, if you miss it's a blind which is no points. The spile is a wooden cone that controls the flow of air in a barrel of beer - Sid has them","09/28/00 12:22:47","04/20/04 15:32:05","fishec50","fishec50"
30,178,"12/23/93 00:00:00","At court, Guy doesn't help Susan's nerves by arriving later than expected. Susan's dressed smartly, but Clive has made no effort. Clive gets 6 years for the robbery and 12 months concurrently for escaping, 6 years altogether. Despite Guy's strong character reference, and Jane (barrister)'s impassioned mitigation, Susan gets 6 months. As she's taken down, aghast Neil promises he'll get her out.","11/23/00 15:27:19","11/07/01 16:44:28","fishec50","fishec50"
31,156,"07/15/97 00:00:00","Cornered by Jenn, Brian explains the purchase of The Berrow Estate: The 80 acres becomes part of the Home Farm acreage.    Brian was approached by a consortium of city men who were looking for a rural investment with tax advantages. 1) The in-hand land: set up a company Borchester Land bought the land separately to avoid capital gains tax as it's a farming enterprise. Brian is a shareholder and he gets the contract to farm it for 5 years. The land must be used for farming because of the tax relief. 2) The tenanted farms and business units: Same consortium different company again Brian is a shareholder. Brian will be their man on the spot.","01/11/01 12:11:00","01/11/01 12:11:23","fishec50","fishec50"
32,300,"01/01/99 00:00:00","Phoebe Aldridge:born 28.6.98  looked after by her mother fulltime with occasional visits to her father.
Josh Archer:born 13.9.97 looked after by a combination of his grandmother, playgroup and Hayley.
Jamie Perks:born 20.7.95  Jamie is very young in his year as his birthday will be in July attending Loxley Barret.
Daniel Hebden:born 14.11.94 starts Loxley Barret in September '99. As  his 5th birthday is in November he  will be one of the older children in his year
Pip Archer:born 17.2.93  attending Loxley Barret infants, her friend Becky is in the same class, Pip is looked after by Jill or Hayley after school.  Hayley also looks after Becky and Becky’s little brother Henry. 
Alice Aldridge:born 29.9.88 at  local private girls school.  As her birthday is in September she is in her last year at this school.  
Christopher Carter:22.6.88 starts at Borchester Green this September'99. He catches the school bus with his sister.
Edward Grundy:born 28.9.84 he starts year 10.  By now he will have made his choices and this is the first year of his GCSE’s. 
Emma Carter:born 7.8.84 she is at Borchester Green. Emma will start year 11 in September ’99 this is her GCSE year. She will have to get her head down adding to the difficulties of living in a small house with a younger brother.  Emma catches the school bus. 
William Grundy:born 9.2.83  William starts his day release at the same agricultural college (Borchester) same as Tommy.  William is doing an NVQ level one in gamekeeping. 
Tommy Archer:born 25.2.81 Tommy starts his second year of day release at Borchester Agricultural College.
Helen Archer:born 16.4.79  Helen’s placement comes to an end in Feb 2000.   She graduates from Reaseheath in July 2000.
Roy Tucker started college in September ’97 he is doing a three year course at Felpersham University (Accounts and Finance known as ""AcciFin"" not on air) so will graduate in 2000.","04/04/01 16:12:53","04/04/01 16:12:53","fishec50","fishec50"
33,571,,"""Dry May, dripping June""","04/04/01 17:25:42","04/04/01 17:25:42","fishec50","fishec50"
34,571,,"If in February there comes no rain 'Tis neither good for hay nor grain.","04/04/01 17:26:39","04/04/01 17:26:39","fishec50","fishec50"
35,553,"02/19/01 00:00:00","Shula, Pat, Kathy, Lynda, Siobhan, Hayely and Alistair are on the baord.","05/11/01 11:35:08","05/11/01 11:35:24","fishec50","fishec50"
36,34,"01/01/99 00:00:00","Alistair captain, Sid manager, David, Robert, Neil, Duncan, Tony,Tommy,
Eddie, Roy, William.","05/15/01 09:51:36","05/15/01 09:52:29","fishec50","fishec50"
37,68,,"donation to the bells’ fund.","07/06/01 17:12:12","07/06/01 17:12:12","fishec50","fishec50"
38,105,"09/29/94 00:00:00","Married at St. Stephens Church Ambridge party at Brookfield","10/16/01 15:59:26","10/16/01 16:06:41","fishec50","fishec50"
39,615,"10/05/01 00:00:00","Ed was in court on 5/10/01 because he was accused of: taking a mechanically propelled vehicle without consent of the owner or other lawful authority, and after the vehicle was taken and before it was recovered, you drove it dangerously on Heybury Road on 28 September which is contrary to section 12A of the Theft Act 1968. Are you guilty or not guilty. Ed pleaded guilty.","11/06/01 11:04:04","11/06/01 11:04:05","fishec50","fishec50"
40,615,"10/05/01 00:00:00","The magistrate was played by Paul Webster","11/06/01 11:14:07","11/06/01 11:14:07","fishec50","fishec50"
41,115,,"Cast - Joe - Bottom
John - Demetrius
Roy - Lysander
Brenda - first fairy
Nigel  -  Oberon
Liz  -  Titania 
Larry  -  Theseus 
Jill -  Hippolyta
Bert  -  Peter Quince
Janet - Puck
Eddie  -  Snout
Alice - Moth
Kate  -  Helena
Hayley - Hermia","12/18/01 11:31:34","12/18/01 12:27:55","fishec50","fishec50"
42,473,"07/23/86 00:00:00","David proposes to Sophie whilst watching The Royal Wedding on telly.","02/15/02 12:32:31","02/15/02 12:32:31","fishec50","fishec50"
43,319,,"Cotswold sheep,  Redcap hens,  Gloucester Cattle, the horns are left on","03/07/02 10:20:43","05/11/05 16:46:24","fishec50","fishec50"
44,178,"11/18/93 00:00:00"," The CPS have decided to prosecute so she has been charged with attempting to pervert the course of public justice.","04/10/02 10:49:31","04/10/02 10:49:32","fishec50","fishec50"
45,337,"02/14/02 00:00:00","St. Valentine's Day - Sid asks Jolene to marry him. She accepts. Her ring is a diamond.
Sid         ""Jolene - Will you marry me?""
Jolene   "" What?""
Sid        "" Will you marry me? (beat) You don't have to say now - if you want to think about it""
Jolene   ""No!""
Sid  (flat) ""Oh.   Oh well - ""
Jolene     ""Sid! I mean - no, don't be silly! I don't need to think about it. Of course I'll marry you!""","04/10/02 14:43:47","06/10/10 14:59:50","fishec50","fishec50"
46,462,"11/07/91 00:00:00","Kenton makes it clear that Nelson will be the senior partner as he's investing £60, 000 to Kenton's £40,000. Nelson goes through Kenton's stock and most of it is rubbish. - The Antique business is no longer Archers Antiquities - but still use the same storyline to save confusion","05/13/02 16:52:02","05/13/02 16:52:02","fishec50","fishec50"
47,416,"04/26/00 00:00:00"," Pat can’t stop thinking about the Grundys who are leaving Grange Farm for the last time that day.
Clarrie digs up her buried jewellery.  Eddie comes to tell her that Tess has settled well back at Brookfield. Clarrie is on the verge of tears but trying to put a brave face on things.  The last few boxes are put in the van and finally the moment has come. Clarrie cleans the kitchen floor one last time and  then  asks Joe if he’d like to lock up, but he can’t bear it. They start to get into the van when they hear a familiar sound: Tess barks. She has run all the way form Brookfield back home to Grange Farm. Clarrie bursts into tears. William says he’ll sort the dog out and kisses his mum goodbye.  Eddie can barely bring himself to say farewell to the dog. William watches them sadly as the van pulls off into the distance and a new, uncertain future.","09/02/02 15:24:54","09/02/02 15:25:09","fishec50","fishec50"
48,632,"06/25/02 00:00:00","Siobhan bumps into Lynda who’s shopping in Felpersham.   Siobhan seizes her opportunity and suggests that they go for a coffee.  Lynda is aghast when Siobhan admits to having an affair and now being pregnant by her lover.  Siobhan says it’s a relief to talk to someone at last and Lynda insists she can count on her as a soul of discretion and is gratified that Siobhan has chosen to confide in her.","09/02/02 17:12:26","09/02/02 17:12:27","fishec50","fishec50"
49,413,"01/01/01 00:00:00","At Brookfield, Phil has an announcement to make to his assembled family. He tells them that David’s accident has proved to him just how committed David is to the farm, something he should have known all along. He is going to form Brookfield into a limited company, so that if the farm is ever sold, then Elizabeth, Shula and Kenton will all get a share of the proceeds. But Phil is going to leave the farm to David and Ruth. The toast is to David, Ruth and the future of Brookfield.","09/30/02 10:28:15","09/30/02 10:28:16","fishec50","fishec50"
50,666,"01/19/03 00:00:00","Jennifer -  Chair
Usha - Treasurer 
Peggy -  secretary.","01/14/03 15:33:51","01/14/03 15:33:51","fishec50","fishec50"
51,270,,"Borchester Farmers Market is held on Thursdays early in the month","02/03/03 16:39:46","02/03/03 16:42:00","fishec50","fishec50"
52,244,,"No point to point in 2001 because of Foot and Mouth","02/11/03 14:46:36","02/11/03 14:46:37","fishec50","fishec50"
53,414,"03/09/03 00:00:00","See  story 3 Peaks Challenge","06/05/03 17:38:27","06/05/03 17:38:44","fishec50","fishec50"
54,229,"04/08/03 00:00:00","Meetings are held about once a month in the village hall always towards the end of the month.","06/06/03 13:03:43","06/06/03 13:03:58","fishec50","fishec50"
55,461,"01/01/03 00:00:00","Note - not on air -  By now Roy is no longer a Trainee and must be an assistant manager of some sort","09/04/03 13:11:19","09/04/03 13:13:05","fishec50","fishec50"
56,376,"02/02/29 00:00:00","Members - Jill, Susan Clarrie, Betty, Peggy, Marjorie, Christine, Jennifer, Lynda, Jean Harvey, Pat Fletcher, Freda Fry.","10/10/03 10:37:16","10/10/03 10:37:27","fishec50","fishec50"
57,823,"07/29/81 00:00:00","The Wedding Day of Charles and Lady Diana","02/04/04 12:20:17","02/04/04 12:20:17","fishec50","fishec50"
58,810,"03/12/04 00:00:00","Jill is with Christine in the Police House: Greg has called asking for George to go and help him look for poachers, and Jill has agreed to come and stay with Chris while she is on her own. George is reluctant to leave Chris, but she insists: she knows that they both have to get one with their lives if they are to get over the trauma with Clive. Later on, Alan passes Clive near the Police House. Alan doesn’t recognise him, and (seeing that he has a petrol can with him) assumes that he’s broken down, but Clive assures him that he’s fine. Minutes later, Alan and Sid see Clive throw a petrol bomb through the window of the Police House. They rush to call the Fire Brigade. David, who has been drinking in the pub, rushes to the house, knowing that Jill is inside. In the house, Chris and Jill are fighting to get out - the flames and smoke have spread rapidly. They try and get out of the conservatory, but Chris loses the key. George returns in time to see David break the glass and help both women out. Chris weeps as she watches her home destroyed by the flames.","05/05/04 14:38:01","05/05/04 14:38:01","fishec50","fishec50"
59,850,"03/12/04 00:00:00","Alan and Sid see Clive throw a petrol bomb through the window of the Police House","05/24/04 12:30:25","05/24/04 12:30:25","fishec50","fishec50"
60,604,"08/09/02 00:00:00","At sometime during the weekend of 9th August to 12th August 2002 Emma and William had sex, this would not have been the first time.","06/07/04 11:58:09","06/07/04 12:11:07","fishec50","fishec50"
61,771,"09/08/03 00:00:00","Fallon is doing an HND in Music Performance for 2 years","10/19/04 14:30:44","10/19/04 14:30:44","fishec50","fishec50"
62,490,"08/26/04 00:00:00","Brian makes William head keeper","10/20/04 16:30:13","10/20/04 16:30:27","fishec50","fishec50"
63,828,"08/27/04 00:00:00","the day of the wedding","10/20/04 16:32:49","10/20/04 16:32:49","fishec50","fishec50"
64,270,,"Darrington Farmer's market is on Mondays","10/25/04 14:28:39","10/25/04 14:28:39","fishec50","fishec50"
65,270,,"Felpersham's farmers' market is on Fridays. Felpersham's market is one of the biggest in the area","10/25/04 14:28:54","10/25/04 14:30:00","fishec50","fishec50"
66,270,,"Hollerton Farmer's market is on a Friday and a Tuesday  twice a month","10/25/04 14:29:29","10/25/04 14:29:29","fishec50","fishec50"
67,861,,"Alan is the treasuer of the trust. Jennifer Aldridge is secretary also on the committee are; Phil, Peggy, Lewis, Usha, Oliver and Nigel","10/25/04 14:54:31","10/25/04 14:58:59","fishec50","fishec50"
68,692,,"Brian meets up with the Ambridge coach party of Jenny  Shula George Oliver","11/14/04 14:12:35","11/14/04 14:12:57","fishec50","fishec50"
69,81,"08/01/04 00:00:00","Pro: - Oliver moved into the village as the new Joint Master of Foxhounds in November 2000.  At the time it was said that hunting was the main object of his life and his reason for moving to Ambridge. Oliver rides a horse called Troy. 
Caroline has always hunted. Her horse is Maisie.
The Hunt keep the dogs at Netherbourne Hall in Netherbourne. Lord (Adrian) Netherbourne is Caroline’s uncle.
Shula and Alistair. Shula is a keen huntswoman, owns the stables and rides every day.  Alistair less so, but he is supportive of Shula and has said that he would not enjoy having to put down the hounds if hunting was banned.
Christine was a keen hunter but due to age and a bad back she no longer rides.
Debbie hunts her horse is called Tolly.
Alice is keen her horse is Spearmint. 
Adam rides and he did hunt as a child.
Brian did ride to hounds in 1978 but hasn’t done so for years.
Jennifer doesn't like horses that much, and doesn't ride, however she supports hunting.
Helen hunted as a child and is supportive of the hunt.
Nigel has acted as whipper - in.  
It’s years since Elizabeth has ridden, she did take some lessons when Cameron invited her to join him, hunting. The hunt ball has been held at Lower Loxley and the hunt meet there. 
Graham Ryder hunts for social reasons, but is not a good horseman. 
Susan has friends, Carl and Sandra who work for the hunt; Carl is a huntsman and Sandra's a groom, they would be out of work if hunting was banned, it would also make a difference to Christopher’s employment prospects. 
Neil helped Greg put up pro hunting posters. 
Lilian hunts and has tried to get Matt on to a horse – something his wife never managed to do. If he could ride, Matt would hunt for social reasons. 
Jack is happy for the hunt to go across his land. 
On the Fence: As the hunt sometimes meet at The Bull, Sid and Jolene would rather not rock the boat. 
Alan has admitted to a dislike of hunting however he is his insistent that others have the right to do as they choose.
Ed was certainly no great hunt supporter, but he was willing to take on the casual job while Carl was unwell. However when Fallon harangued him about working for the hunt, he felt hard done by.
Joe happy to support the hunt, when it’s to his advantage, and moan about them being posh when that suits his mood. 
Anti: - Pat and Tony are both anti hunting. Lynda is anti. Although she has been a country woman for years, Jill is very anti hunting. Last year Tom and Kirsty tore down pro hunting posters.  Jazzer got beaten-up by Greg for removing pro-hunting posters. Fallon sounded off to Ed about the cruelty and pointlessness of hunting.
Amy is anti. Freda isn’t keen. 
South Borsetshire Hunt: - In the kennel they have 16 and a half couple dogs, 18 and a half couple bitches which they keep separated. Hounds names are taken from an old traditional list, the first letter has to be the same as the sire or dam. They are fed flesh on hunting days. Three of the dogs are called:  Groucho, Grappler, Grapefruit.","11/23/04 10:28:21","11/23/04 10:28:21","fishec50","fishec50"
70,856,,"The name of Helen's clinic is ""Wellborough""","12/02/04 15:09:40","12/02/04 15:09:40","fishec50","fishec50"
71,861,,"Ambridge Buildings Preservation Trust.","12/02/04 15:24:34","12/02/04 15:24:34","fishec50","fishec50"
72,604,"10/08/04 00:00:00","Emma goes home to the cottage, to find that Will and Jennifer between them have set it all up  they’ve even made the bed.  Emma is really thrilled. She wishes they’d had a ""Casa Nueva"" sign made in Mexico.  They cuddle.","12/13/04 12:03:49","12/13/04 12:03:49","fishec50","fishec50"
73,887,"10/11/04 00:00:00","When Kathy arrives home Kenton and Meriel are already there.","12/13/04 14:46:46","12/13/04 14:46:46","fishec50","fishec50"
74,229,"05/02/03 00:00:00","David is elected onto the parish council, Graham Ryder failed. After the 2003 elections - Chair George Barford
Vice Chair Jack Woolley
Clerk to the council  Christine Barford
Committee: , Derek Fletcher, Peggy Woolley, Neil Carter, David Archer.","01/21/05 16:50:42","01/21/05 16:59:23","fishec50","fishec50"
75,902,"12/16/04 00:00:00","Owen raped Kathy","01/26/05 16:26:30","01/26/05 16:26:30","fishec50","fishec50"
